Nombre,Tipo,L,a,b,Opacidad
Cobalt Green Pale,Acuarela,86,-13.89,2.91,0.15
Fuchsite Genuine,Acuarela,89,-15.62,4.55,0.15
Viridian,Acuarela,72,-31.9,7.44,0.15
Diopside Genuine,Acuarela,55,-32.24,24.08,0.15
Phthalo Green (Blue Shade),Acuarela,46,-55.18,9.37,0.15
Cascade Green,Acuarela,50,-21.66,2.04,0.4
Jadeite Genuine,Acuarela,41,-21.63,15.75,0.4
Cobalt Green,Acuarela,69,-36.22,25.25,0.4
Spring Green,Acuarela,75,-46.15,50.67,0.4
Permanent Green Light,Acuarela,74,-51.06,54.37,0.4
Phthalo Yellow Green,Acuarela,83,-40.9,73.44,0.15
Permanent Green,Acuarela,60,-57.97,36.04,0.15
Phthalo Green (Yellow Shade),Acuarela,61,-57.82,27.36,0.15
Hooker's Green,Acuarela,57,-37.49,35.0,0.4
Sap Green,Acuarela,57,-14.3,43.67,0.15
Serpentine Genuine,Acuarela,63,-9.09,45.0,0.4
Chromium Green Oxide,Acuarela,59,-14.21,18.21,0.9
Green Apatite Genuine,Acuarela,50,-10.38,29.79,0.4
Terre Verte,Acuarela,66,-16.29,10.61,0.15
Deep Sap Green,Acuarela,33,-15.62,8.47,0.15
Perylene Green,Acuarela,35,-5.61,3.4,0.4
Prussian Green,Acuarela,33,-19.11,-4.08,0.4
Rare Green Earth,Acuarela,74,-6.28,9.74,0.15
Undersea Green,Acuarela,49,-8.24,19.48,0.4
Zoisite Genuine,Acuarela,67,-7.99,9.61,0.4
Olive Green,Acuarela,57,0.49,40.9,0.4
Green Gold,Acuarela,76,-8.84,77.68,0.15
Rich Green Gold,Acuarela,76,3.18,68.57,0.4
Nickel Azo Yellow,Acuarela,80,9.4,87.38,0.15
Bronzite Genuine,Acuarela,73,13.67,29.43,0.15
Verona Gold Ochre,Acuarela,87,5.35,30.9,0.15
Burnt Bronzite Genuine,Acuarela,70,14.35,13.69,0.15
French Ochre,Acuarela,82,12.3,44.73,0.15
Raw Sienna Light,Acuarela,81,15.18,56.63,0.4
Burgundy Yellow Ochre,Acuarela,80,13.85,51.56,0.15
Chrome Titanate Yellow,Acuarela,81,13.5,38.6,0.5
Yellow Ochre,Acuarela,76,19.07,55.3,0.15
Mars Yellow,Acuarela,70,22.43,59.76,0.4
Yavapai Genuine,Acuarela,71,11.58,25.17,0.15
Raw Sienna,Acuarela,67,24.2,49.45,0.4
Transparent Yellow Oxide,Acuarela,65,21.74,52.57,0.15
Monte Amiata Natural Sienna,Acuarela,81,12.48,51.59,0.15
Enviro-Friendly Red Iron Oxide,Acuarela,49,26.54,23.58,0.4
Goethite (Brown Ochre),Acuarela,63,18.55,40.12,0.4
Quinacridone Deep Gold,Acuarela,64,28.79,56.17,0.15
Italian Deep Ochre,Acuarela,84,9.45,29.14,0.15
Lunar Earth,Acuarela,67,19.32,22.54,0.15
Burnt Yellow Ochre,Acuarela,50,36.39,29.65,0.15
Garnet Genuine,Acuarela,48,39.14,31.33,0.15
Roasted French Ochre,Acuarela,60,31.83,35.89,0.15
Burgundy Red Ochre,Acuarela,61,27.47,35.12,0.15
Indian Red,Acuarela,45,25.1,15.94,0.9
Venetian Red,Acuarela,49,32.54,24.25,0.9
Italian Burnt Sienna,Acuarela,60,29.99,33.87,0.4
Quinacridone Burnt Orange,Acuarela,58,35.59,44.31,0.15
Quinacridone Sienna,Acuarela,63,44.57,52.41,0.15
Pompeii Red,Acuarela,65,26.87,39.41,0.4
Red Fuchsite Genuine,Acuarela,61,23.49,12.65,0.15
Terre Ercolano,Acuarela,70,29.83,32.07,0.4
Minnesota Pipestone Genuine,Acuarela,72,20.11,17.01,0.4
Italian Venetian Red,Acuarela,77,18.51,16.92,0.4
English Red Earth,Acuarela,47,28.49,24.94,0.9
Red Jasper Genuine,Acuarela,62,20.43,21.32,0.4
Hematite Burnt Scarlet Genuine,Acuarela,58,19.9,25.49,0.4
Quinacridone Burnt Scarlet,Acuarela,55,40.61,31.6,0.15
Perylene Maroon,Acuarela,39,35.91,19.35,0.4
Sedona Genuine,Acuarela,71,24.03,28.86,0.4
Deep Scarlet,Acuarela,44,40.01,27.06,0.4
Naphthamide Maroon,Acuarela,36,28.83,10.61,0.4
Lunar Red Rock,Acuarela,51,16.35,10.58,0.4
Piemontite Genuine,Acuarela,47,19.01,8.3,0.4
Tiger's Eye Genuine,Acuarela,73,5.86,19.85,0.15
Burnt Tiger's Eye Genuine,Acuarela,70,13.34,20.4,0.15
Hematite Genuine,Acuarela,67,1.33,5.57,0.4
German Greenish Raw Umber,Acuarela,68,4.78,27.24,0.4
Hematite Violet Genuine,Acuarela,67,8.78,9.05,0.4
Mummy Bauxite,Acuarela,57,19.9,31.12,0.4
Permanent Brown,Acuarela,43,29.67,23.43,0.15
Quinacridone Gold,Acuarela,73,21.9,67.76,0.15
Raw Umber Violet,Acuarela,44,15.62,12.11,0.4
Transparent Brown Oxide,Acuarela,45,24.16,26.49,0.15
Transparent Red Oxide,Acuarela,43,29.67,22.73,0.15
Fired Gold Ochre,Acuarela,72,19.47,18.52,0.15
Burnt Sienna Light,Acuarela,68,25.13,30.56,0.15
Enviro-Friendly Brown Iron Oxide,Acuarela,52,17.58,22.13,0.4
Burnt Sienna,Acuarela,56,29.41,33.41,0.4
English Red Ochre,Acuarela,60,26.25,27.44,0.15
Burnt Umber,Acuarela,49,14.73,24.06,0.4
Enviro-Friendly Yellow Iron Oxide,Acuarela,56,24.83,33.06,0.4
Raw Umber,Acuarela,51,7.2,20.97,0.4
Sepia,Acuarela,44,7.35,16.5,0.4
Sicklerite Genuine,Acuarela,64,5.77,13.16,0.15
Van Dyck Brown,Acuarela,44,6.33,13.91,0.4
Bloodstone Genuine,Acuarela,66,6.2,5.08,0.15
Lunar Violet,Acuarela,64,7.47,-10.7,0.4
Neutral Tint,Acuarela,44,1.31,-3.88,0.4
Graphite Gray,Acuarela,45,0.61,1.37,0.9
Jane's Grey,Acuarela,50,-1.94,-3.0,0.4
Payne's Blue Gray,Acuarela,32,-2.01,-8.13,0.4
Payne's Gray,Acuarela,47,-2.43,-5.0,0.4
Alvaro's Caliente Grey,Acuarela,41,0.7,9.61,0.4
Alvaro's Fresco Grey,Acuarela,47,0.02,-6.69,0.4
Joseph Z's Warm Grey,Acuarela,38,0.2,7.05,0.4
Joseph Z's Neutral Grey,Acuarela,39,-2.45,6.37,0.4
Joseph Z's Cool Grey,Acuarela,38,-6.23,0.19,0.4
Ivory Black,Acuarela,47,1.24,6.07,0.4
Lamp Black,Acuarela,28,0.13,0.73,0.9
Lunar Black,Acuarela,65,0.66,1.48,0.15
Black Tourmaline Genuine,Acuarela,65,-1.32,0.91,0.15
Gray Titanium,Acuarela,73,0.16,16.54,0.4
Chinese White,Acuarela,97,-0.63,3.48,0.4
Titanium White,Acuarela,96,-0.49,5.42,0.4
Phthalo Blue Turquoise,Acuarela,57,-37.0,-22.0,0.15
