CHROMA|COLOR|L|a|b
140|Yavapai Genuine|71|11.58|25.17
141|Raw Sienna|67|24.2|49.45
142|Transparent Yellow Oxide|65|21.74|52.57
143|Monte Amiata Natural Sienna|81|12.48|51.59
144|Enviro-Friendly Red Iron Oxide|49|26.54|23.58
145|Goethite (Brown Ochre)|63|18.55|40.12
146|Quinacridone Deep Gold|64|28.79|56.17
147|Italian Deep Ochre|84|9.45|29.14
148|Lunar Earth|67|19.32|22.54
149|Burnt Yellow Ochre|50|36.39|29.65
150|Garnet Genuine|48|39.14|31.33
151|Roasted French Ochre|60|31.83|35.89
152|Burgundy Red Ochre|61|27.47|35.12
153|Indian Red|45|25.1|15.94
154|Venetian Red|49|32.54|24.25
155|Italian Burnt Sienna|60|29.99|33.87
156|Quinacridone Burnt Orange|58|35.59|44.31
157|Quinacridone Sienna|63|44.57|52.41
158|Pompeii Red|65|26.87|39.41
159|Red Fuchsite Genuine|61|23.49|12.65
160|Terre Ercolano|70|29.83|32.07
161|Minnesota Pipestone Genuine|72|20.11|17.01
162|Italian Venetian Red|77|18.51|16.92
163|English Red Earth|47|28.49|24.94
164|Red Jasper Genuine|62|20.43|21.32
165|Hematite Burnt Scarlet Genuine|58|19.9|25.49
166|Quinacridone Burnt Scarlet|55|40.61|31.6
167|Perylene Maroon|39|35.91|19.35
168|Sedona Genuine|71|24.03|28.86
169|Deep Scarlet|44|40.01|27.06
170|Naphthamide Maroon|36|28.83|10.61
171|Lunar Red Rock|51|16.35|10.58
172|Piemontite Genuine|47|19.01|8.3
173|Tiger's Eye Genuine|73|5.86|19.85
174|Burnt Tiger's Eye Genuine|70|13.34|20.4
175|Hematite Genuine|67|1.33|5.57
176|German Greenish Raw Umber|68|4.78|27.24
177|Hematite Violet Genuine|67|8.78|9.05
178|Mummy Bauxite|57|19.9|31.12
179|Permanent Brown|43|29.67|23.43
180|Quinacridone Gold|73|21.9|67.76
181|Raw Umber Violet|44|15.62|12.11
182|Transparent Brown Oxide|45|24.16|26.49
183|Transparent Red Oxide|43|29.67|22.73
184|Fired Gold Ochre|72|19.47|18.52
185|Burnt Sienna Light|68|25.13|30.56
186|Enviro-Friendly Brown Iron Oxide|52|17.58|22.13
187|Burnt Sienna|56|29.41|33.41
188|English Red Ochre|60|26.25|27.44
189|Burnt Umber|49|14.73|24.06
190|Enviro-Friendly Yellow Iron Oxide|56|24.83|33.06
191|Raw Umber|51|7.2|20.97
192|Sepia|44|7.35|16.5
193|Sicklerite Genuine|64|5.77|13.16
194|Van Dyck Brown|44|6.33|13.91
195|Bloodstone Genuine|66|6.2|5.08
196|Lunar Violet|64|7.47|-10.7
197|Neutral Tint|44|1.31|-3.88
198|Graphite Gray|45|0.61|1.37
199|Jane's Grey|50|-1.94|-3
200|Payne's Blue Gray|32|-2.01|-8.13
201|Payne's Gray|47|-2.43|-5
202|Alvaro's Caliente Grey|41|0.7|9.61
203|Alvaro's Fresco Grey|47|0.02|-6.69
204|Joseph Z's Warm Grey|38|0.2|7.05
